"Company Name","phone","website","Normalize a Domain","Normalized Url","address","categoryName","city","state","url","postalCode","totalScore","reviewsCount","Enrich company","Id","Find people at company by job title","First Name - People - Results","Last Name - People - Results","Name - People - Results","Title - People - Results","Street Address - People - Results"
"Buresh Home Solutions, Inc.","(515) 274-2957","https://bureshhomesolutions.com/","bureshhomesolutions.com","bureshhomesolutions.com","9379 Swanson Blvd, Clive, IA 50325","Window installation service","Clive","Iowa","https://www.google.com/maps/search/?api=1&query=Buresh%20Home%20Solutions%2C%20Inc.&query_place_id=ChIJFQ5ZJ6Yg7IcRdk38s-csWwE",50325,4.8,195,"✅ Buresh Home Solutions, Inc.","54a1ce1974686949e7fd5b12","✅ Found 3 people","Brian","Buresh","Brian Buresh","Owner / President",
"Meyer Construction Inc","(563) 578-5985","https://www.meyerconstructioninc.com/","meyerconstructioninc.com","meyerconstructioninc.com","1781 Viking Ave, Sumner, IA 50674","Construction company","Sumner","Iowa","https://www.google.com/maps/search/?api=1&query=Meyer%20Construction%20Inc&query_place_id=ChIJn_1Ob5nA-ocR6TN-v5-pO98",50674,3.3,3,"✅ MEYER CONSTRUCTION, INC.","6729c9c4c69d7400017e4962","✅ Found 1 person","Brian","Meyer","Brian Meyer","Business Owner",
"Bruce Builders","(563) 285-9341","http://www.brucebuilders.com/","brucebuilders.com","brucebuilders.com","900 E Franklin St, Eldridge, IA 52748","Construction company","Eldridge","Iowa","https://www.google.com/maps/search/?api=1&query=Bruce%20Builders&query_place_id=ChIJccAo8qNL4ocRDcGGD9V7V-0",52748,3.5,6,"✅ Bruce Builders","615e93996a929000014c5051","✅ Found 2 people","Bruce","Snyder","Bruce Snyder","Owner",
"King Construction, Inc.","(641) 648-5464","https://kingconstructioniowa.com/","kingconstructioniowa.com","kingconstructioniowa.com","1205 N Oak St, Iowa Falls, IA 50126","Construction company","Iowa Falls","Iowa","https://www.google.com/maps/search/?api=1&query=King%20Construction%2C%20Inc.&query_place_id=ChIJUbPw3SPY8YcRj4YZBnZ2sgY",50126,4.4,7,"✅ King Construction","54a1c14474686958609a3c0e","✅ Found 10 people","Chris","Geen","Chris Geen","Owner",
"Larry Elwood Construction","(641) 423-3261","https://larryelwoodconstruction.com/","larryelwoodconstruction.com","larryelwoodconstruction.com","2401 S Federal Ave, Mason City, IA 50401","Home builder","Mason City","Iowa","https://www.google.com/maps/search/?api=1&query=Larry%20Elwood%20Construction&query_place_id=ChIJM4lWoN-p8YcRc0rmLi394jc",50401,4.6,23,"✅ Larry Elwood Construction","5569372673696420fe350f00","✅ Found 2 people","Chris","Veverka","Chris Veverka","Commercial Manager",
"K & V Homes","(515) 252-9989","http://kandvhomes.com/","kandvhomes.com","kandvhomes.com","2871 104th St, Urbandale, IA 50322","Custom home builder","Urbandale","Iowa","https://www.google.com/maps/search/?api=1&query=K%20%26%20V%20Homes&query_place_id=ChIJV-FVLQgn7IcRDLG_M2-bWM4",50322,5,36,"✅ K & V HOMES, INC.","672861feed6bc2000192f89a","✅ Found 1 person","Colin","King","Colin King","Owner",
"Burkett Construction, LLC","(515) 783-8860","http://theburkettcompanies.com/","theburkettcompanies.com","theburkettcompanies.com","25 Ellefson Dr, De Soto, IA 50069","Home builder","De Soto","Iowa","https://www.google.com/maps/search/?api=1&query=Burkett%20Construction%2C%20LLC&query_place_id=ChIJuVrogWAM7IcRn6vzxm4HSfE",50069,4.5,2,"✅ Burkett Construction, LLC","674fe441d188e7000118af42","✅ Found 1 person","Cory","Burkett","Cory Burkett","Owner",
"Hansen Co Inc","(515) 270-1117","http://hansencompany.com/","hansencompany.com","hansencompany.com","5665 Greendale Rd # A, Johnston, IA 50131","General contractor","Johnston","Iowa","https://www.google.com/maps/search/?api=1&query=Hansen%20Co%20Inc&query_place_id=ChIJwyhjF_-c7ocRkM9KV7pAM3o",50131,4.2,10,"✅ The Hansen Company, Inc","55f614eaf3e5bb191a004a51","✅ Found 8 people","Craig","Hansen","Craig Hansen","CEO",
"Genesis Homes of Iowa","(515) 216-1019","http://www.genesishomesia.com/","genesishomesia.com","genesishomesia.com","734 SE Alice's Rd, Waukee, IA 50263","Home builder","Waukee","Iowa","https://www.google.com/maps/search/?api=1&query=Genesis%20Homes%20of%20Iowa&query_place_id=ChIJczwPOpAj7IcRxl4NPm_ZrHk",50263,3.6,13,"✅ Genesis Signature Homes","55ea84e8f3e5bb02e0007b44","✅ Found 1 person","Dale","White","Dale White","Owner",
"DSM Property and Construction Services LLC","(515) 619-8814","http://www.dsmproperty.net/","dsmproperty.net","dsmproperty.net","3035 99th St, Urbandale, IA 50322","Construction company","Urbandale","Iowa","https://www.google.com/maps/search/?api=1&query=DSM%20Property%20and%20Construction%20Services%20LLC&query_place_id=ChIJt-IYJpAn7IcRSfXERCPMVMA",50322,3.6,25,"✅ DSM Property Services LLC","60e1851894515200c29744d3","✅ Found 3 people","Dan","Bunkers","Dan Bunkers","General Manager",
"Iowa Bridge & Culvert, LC","(319) 653-5436","http://www.iowabridge.com/","iowabridge.com","iowabridge.com","409 N Ave B, Washington, IA 52353","Construction company","Washington","Iowa","https://www.google.com/maps/search/?api=1&query=Iowa%20Bridge%20%26%20Culvert%2C%20LC&query_place_id=ChIJ301sP2co5IcRYZPcpFvqca0",52353,4.1,10,"✅ Iowa Bridge & Culvert, LC","54a135c969702d3cbb60f000","✅ Found 5 people","Dave","Price","Dave Price","Safety Manager",
"Iowa Home Crafters","(515) 292-5274","http://iowahomecrafters.com/","iowahomecrafters.com","iowahomecrafters.com","1175 McCormick Ave, Ames, IA 50010","Custom home builder","Ames","Iowa","https://www.google.com/maps/search/?api=1&query=Iowa%20Home%20Crafters&query_place_id=ChIJAXV0qRxw7ocRy7AvAct22VQ",50010,4.4,7,"✅ Iowa Home Crafters, Inc.","56d9e1bbf3e5bb72fb006c4c","✅ Found 1 person","Dave","Hade","Dave Hade","Owner",
"B & H Builders, LLC","(319) 338-0264","https://bh-builders.com/","bh-builders.com","bh-builders.com","3595 Perch Dr SE, Iowa City, IA 52240","Home builder","Iowa City","Iowa","https://www.google.com/maps/search/?api=1&query=B%20%26%20H%20Builders%2C%20LLC&query_place_id=ChIJl0Wg6Fdp5IcRyLCUr78rd3k",52240,4.4,9,"✅ B & H Builders, LLC","54a1a7937468695475dd0005","✅ Found 2 people","Dennis","Hultstrand","Dennis Hultstrand","CEO",
"Avec Design+Build","(515) 233-4641","https://www.avecdesignbuild.com/","avecdesignbuild.com","avecdesignbuild.com","131 Main St, Ames, IA 50010","Architect","Ames","Iowa","https://www.google.com/maps/search/?api=1&query=Avec%20Design%2BBuild&query_place_id=ChIJQ-PvT3lw7ocRBNOJcZfCrwY",50010,5,5,"✅ AVEC Design+Build","55f1e038f3e5bb7926002b77","✅ Found 1 person","Derek","Quam","Derek Quam","Project Manager",
"Dean Snyder Construction","(641) 357-2283","http://www.deansnyder.com/","deansnyder.com","deansnyder.com","913 N 14th St, Clear Lake, IA 50428","Construction company","Clear Lake","Iowa","https://www.google.com/maps/search/?api=1&query=Dean%20Snyder%20Construction&query_place_id=ChIJY1ktn2cK8YcR2HOd8kVViak",50428,4.9,17,"✅ Dean Snyder Construction","54a11b4969702d8aa1272300","✅ Found 10 people","Don","Snyder","Don Snyder","Owner / Presedent",
"Amwood Homes, Inc.","(641) 501-6400","http://www.amwoodhomes.com/","amwoodhomes.com","amwoodhomes.com","530 N Front St, Montezuma, IA 50171","Construction company","Montezuma","Iowa","https://www.google.com/maps/search/?api=1&query=Amwood%20Homes%2C%20Inc.&query_place_id=ChIJH7c5515h74cRngr6jZbyLLU",50171,5,2,"✅ Amwood Building Systems","54a121dc69702d8aa1bfda02","✅ Found 4 people","Doug","Scott","Doug Scott","CEO",
"Larson Construction Co., Inc.","(319) 334-7061","http://www.larsonconst.com/","larsonconst.com","larsonconst.com","600 17th St SE, Independence, IA 50644","Construction company","Independence","Iowa","https://www.google.com/maps/search/?api=1&query=Larson%20Construction%20Co.%2C%20Inc.&query_place_id=ChIJgWgIjWAp5YcRP8UsfCW8KqE",50644,4.6,13,"✅ Larson Construction Co., Inc.","65f7a1799a5f280007eb7f91","✅ Found 3 people","Doug","Larson","Doug Larson","Manager",
"JCorp, Inc.","(515) 207-8015","http://jcorpdesignbuild.com/","jcorpdesignbuild.com","jcorpdesignbuild.com","3611 NE Otter View Cir, Ankeny, IA 50021","Home builder","Ankeny","Iowa","https://www.google.com/maps/search/?api=1&query=JCorp%2C%20Inc.&query_place_id=ChIJIx9StRh97ocR18mVXhAEaec",50021,4.7,7,"✅ JCorp Design Build","56d4b108f3e5bb14ff007bc6","✅ Found 6 people","Duane","Jensen","Duane Jensen","Owner",
"Erickson Balmer Construction","(515) 252-1510","https://www.ericksonbalmer.com/","ericksonbalmer.com","ericksonbalmer.com","2453 106th St, Urbandale, IA 50322","General contractor","Urbandale","Iowa","https://www.google.com/maps/search/?api=1&query=Erickson%20Balmer%20Construction&query_place_id=ChIJEZf4hLUg7IcRtVLq7rRByak",50322,5,4,"✅ Erickson Balmer Construction","5f4191a07c0c850001c866d1","✅ Found 1 person","Dylan","Balmer","Dylan Balmer","Project Manager",
"Eisenach Village, an Epcon Community","(319) 242-3581","http://www.bartelscommunity.org/","bartelscommunity.org","bartelscommunity.org","1100 Bach Ave, Waverly, IA 50677","Home builder","Waverly","Iowa","https://www.google.com/maps/search/?api=1&query=Eisenach%20Village%2C%20an%20Epcon%20Community&query_place_id=ChIJU8ursaUJ8IcRniiwkfJ2t7s",50677,4.4,8,"✅ Bartels Lutheran Retirement Community","56ddc5ecf3e5bb5b0e007e37","✅ Found 1 person","Geise","Paula","Geise Paula","Chief Executive Officer",
"Green Acres Homes","(800) 397-5545","http://www.greenacresnewhomes.com/","greenacresnewhomes.com","greenacresnewhomes.com","3003 Murray Rd, Estherville, IA 51334","Modular home builder","Estherville","Iowa","https://www.google.com/maps/search/?api=1&query=Green%20Acres%20Homes&query_place_id=ChIJhUBXfbdA84cRgvCX-lupZGs",51334,4.4,47,"✅ Green Acres Homes","55ea5200f3e5bb59180017a7","✅ Found 1 person","Green","Keathley","Green Keathley","Manager",
"Cornerstone Building Brands","+1 319-217-4000","https://www.cornerstonebuildingbrands.com/","cornerstonebuildingbrands.com","cornerstonebuildingbrands.com","305 N Iris St, Mt Pleasant, IA 52641, United States","General contractor","Mt Pleasant","Iowa","https://www.google.com/maps/search/?api=1&query=Cornerstone%20Building%20Brands&query_place_id=ChIJubbxdl6V5ocRt3v5FEHLK00",52641,3.3,28,"✅ Cornerstone Building Brands","604d3ea80539a00001cf1666","✅ Found 10 people","Gunner","Smith","Gunner Smith","Chief Executive Officer",
"Numark Building Corporation","(641) 628-2260","http://numarkbuildings.com/","numarkbuildings.com","numarkbuildings.com","102 E 15th St, Pella, IA 50219","Construction company","Pella","Iowa","https://www.google.com/maps/search/?api=1&query=Numark%20Building%20Corporation&query_place_id=ChIJTbybzpA674cR39Y7jtUzu3Q",50219,3.5,6,"✅ NuMark Building Corp.","56e42d3bf3e5bb2e9400c7d6","✅ Found 1 person","Isaac","Nunnikhoven","Isaac Nunnikhoven","Operations Manager",
"Happe Homes LLP","(515) 963-0842","https://happehomes.com/","happehomes.com","happehomes.com","2575 N Ankeny Blvd #211, Ankeny, IA 50023","Custom home builder","Ankeny","Iowa","https://www.google.com/maps/search/?api=1&query=Happe%20Homes%20LLP&query_place_id=ChIJq6qqqvqP7ocR7SkxFiKr_yM",50023,4.3,138,"✅ Happe Homes","5e3af0bc46497300f3ccbf87","✅ Found 4 people","Jake","Happe","Jake Happe","Owner",
"Henkel Construction Co","(641) 423-5674","https://henkelconstruction.com/","henkelconstruction.com","henkelconstruction.com","1710 19th St SW, Mason City, IA 50401","Construction company","Mason City","Iowa","https://www.google.com/maps/search/?api=1&query=Henkel%20Construction%20Co&query_place_id=ChIJhwlX5oUH8YcRrdPaXe7h7s0",50401,,,"✅ Henkel Construction Company","5da128f286b05500014f9bc8","✅ Found 7 people","Jason","Knipp","Jason Knipp","Branch Manager",
"J & G Builders LLC","(515) 979-6905","http://www.jandgbuilders.net/","jandgbuilders.net","jandgbuilders.net","1305 NE 28th St, Ankeny, IA 50021","Construction company","Ankeny","Iowa","https://www.google.com/maps/search/?api=1&query=J%20%26%20G%20Builders%20LLC&query_place_id=ChIJYTrYxn0Z7IcRvzlSjGwr1Zw",50021,5,6,"✅ J & G Builders","5d35712ea3ae6185c743aeb7","✅ Found 1 person","Jason","Patterson","Jason Patterson","Owner",
"Mohr Homes","(712) 210-0839","https://mohrhomesia.com/","mohrhomesia.com","mohrhomesia.com","5375 Katelyn Avenue, Van Meter, IA 50261","Custom home builder","Van Meter","Iowa","https://www.google.com/maps/search/?api=1&query=Mohr%20Homes&query_place_id=ChIJp4XCJKQn7IcRA2JBBG3ka7g",50261,5,3,"✅ Mohr Homes","674d27db4c43350001039f74","✅ Found 1 person","Jay","Mohr","Jay Mohr","Owner",
"Neighborhood Builders","(515) 267-9001","https://www.neighborhoodbuilders.com/","neighborhoodbuilders.com","neighborhoodbuilders.com","6205 Mills Civic Pkwy #200, West Des Moines, IA 50266","Home builder","West Des Moines","Iowa","https://www.google.com/maps/search/?api=1&query=Neighborhood%20Builders&query_place_id=ChIJoc-sZskg7IcRWdncnZUekaY",50266,5,13,"✅ Neighborhood Builders, LLC","54a138b169702d2185610300","✅ Found 4 people","Jeff","Jochims","Jeff Jochims","Owner",
"Kimberley Development Corporation","(515) 963-8335","https://www.kimdev.com/","kimdev.com","kimdev.com","2785 N Ankeny Blvd Ste 22, Ankeny, IA 50023","Custom home builder","Ankeny","Iowa","https://www.google.com/maps/search/?api=1&query=Kimberley%20Development%20Corporation&query_place_id=ChIJp__2H5iF7ocRbuL30BpzRVE",50023,4.4,51,"✅ Kimberley Development Corporation","54a1f6307468693a7eacf400","✅ Found 3 people","Jenna","Kimberley","Jenna Kimberley","Chief Executive Officer",
"Fine and Sons Home Builders","(712) 542-5630","http://www.fineandsonshomebuilders.com/","fineandsonshomebuilders.com","fineandsonshomebuilders.com","217 N 15th St, Clarinda, IA 51632","Home builder","Clarinda","Iowa","https://www.google.com/maps/search/?api=1&query=Fine%20and%20Sons%20Home%20Builders&query_place_id=ChIJNVAENWAy64cRHmVlFjsIw4c",51632,4.3,6,"✅ FINE & SONS HOME BUILDERS, INC.","670758f79ea6210001950323","✅ Found 1 person","Jennifer","Fine","Jennifer Fine","Office Manager",
"Grand Rail Development","(319) 626-6300","http://grandrail.com/","grandrail.com","grandrail.com","2810 Stoner Ct Ste.5, North Liberty, IA 52317","Construction company","North Liberty","Iowa","https://www.google.com/maps/search/?api=1&query=Grand%20Rail%20Development&query_place_id=ChIJ65aYJlJb5IcR_K7ZHNVg6lk",52317,2.5,6,"✅ Grand Rail Development","66dd039d7f7b5c0001c81c9c","✅ Found 1 person","Jennifer","Steburg","Jennifer Steburg","Office Manager",
"Frase Company, Inc.","(641) 684-9773","http://www.frasecompany.com/","frasecompany.com","frasecompany.com","205 S Iowa Ave, Ottumwa, IA 52501","General contractor","Ottumwa","Iowa","https://www.google.com/maps/search/?api=1&query=Frase%20Company%2C%20Inc.&query_place_id=ChIJy-0yBFsf5ocRYD5K7omGNoE",52501,4.3,12,"✅ FRASE CONSTRUCTION, INCORPORATED","6743490c51264500012ae872","✅ Found 1 person","Jeremy","Frase","Jeremy Frase","Owner",
"Home Pride Contractors, Inc.","(515) 650-0472","https://homepride.net/","homepride.net","homepride.net","6165 NW 86th St Suite #120, Johnston, IA 50131","General contractor","Johnston","Iowa","https://www.google.com/maps/search/?api=1&query=Home%20Pride%20Contractors%2C%20Inc.&query_place_id=ChIJ3UQPCwKd7ocRUkhFkygtoE0",50131,4.8,70,"✅ Home Pride Contractors, Inc","54a1aea67468694012329b07","✅ Found 6 people","Jesse","L","Jesse L","Project Manager",
"Bella Homes LLC","(515) 597-3350","http://www.bellahomesiowa.com/","bellahomesiowa.com","bellahomesiowa.com","506 E 1st St, Huxley, IA 50124","General contractor","Huxley","Iowa","https://www.google.com/maps/search/?api=1&query=Bella%20Homes%20LLC&query_place_id=ChIJ18sxjyJ97ocRUX4yuAwfgUQ",50124,4.7,7,"✅ Bella Homes LLC (Iowa)","556ce1ff73696411e3244c00","✅ Found 3 people","Jill","Smith","Jill Smith","Controller / Office Manager",
"Christensen Construction Company","(712) 362-7755","https://www.ccon1.com/","ccon1.com","ccon1.com","821 S 28th St, Estherville, IA 51334","Construction company","Estherville","Iowa","https://www.google.com/maps/search/?api=1&query=Christensen%20Construction%20Company&query_place_id=ChIJmUNJi61A84cRkm1gKPkXHtw",51334,5,3,"✅ Christensen Construction Company","63b1c5c17253cf0001974bcc","✅ Found 4 people","Joe","Oldson","Joe Oldson","Sales & Project Manager",
"Downing Construction","(515) 961-5386","http://www.downingconstruct.com/","downingconstruct.com","downingconstruct.com","509 E Scenic Valley Ave, Indianola, IA 50125","General contractor","Indianola","Iowa","https://www.google.com/maps/search/?api=1&query=Downing%20Construction&query_place_id=ChIJ51W2HMWv7ocROYAVBi5ZVfI",50125,4.8,27,"✅ Downing","5e56c83771ff960001b32d17","✅ Found 10 people","Joe","Butler","Joe Butler","CEO",
"36 West: Edge by D.R. Horton","(515) 420-1609","https://www.drhorton.com/iowa/des-moines/ankeny/36-west-edge-series-homes","drhorton.com","drhorton.com","2919 NW 31st St, Ankeny, IA 50023","Home builder","Ankeny","Iowa","https://www.google.com/maps/search/?api=1&query=36%20West%3A%20Edge%20by%20D.R.%20Horton&query_place_id=ChIJvTsHdgCF7ocRi852FlFrOqU",50023,1,1,"✅ D.R. Horton","54a1297169702d8eeb31ea01","✅ Found 10 people","John","Smith","John Smith","Founder",
"Knutson Construction","(319) 351-2040","https://www.knutsonconstruction.com/","knutsonconstruction.com","knutsonconstruction.com","2351 Scott Blvd SE, Iowa City, IA 52240","Construction company","Iowa City","Iowa","https://www.google.com/maps/search/?api=1&query=Knutson%20Construction&query_place_id=ChIJTfKNkFRq5IcRoKQRwEyP6uY",52240,2.3,3,"✅ Knutson Construction Services","54a1396869702d2a1e394700","✅ Found 10 people","John","Curry","John Curry","Chief Executive Officer",
"Koch Construction","(319) 266-0807","http://buildwithkoch.com/","buildwithkoch.com","buildwithkoch.com","215 E Main St, Cedar Falls, IA 50613","Home builder","Cedar Falls","Iowa","https://www.google.com/maps/search/?api=1&query=Koch%20Construction&query_place_id=ChIJq9h8c7-q-ocRrVsP2P3SHDk",50613,4.7,24,"✅ Koch Construction","5db44a7109c2f80001ee135d","✅ Found 6 people","John","Cameron","John Cameron","Project Manager",
"Gleeson Constructors & Engineers LLC","(712) 258-9300","http://www.gleesonllc.com/","gleesonllc.com","gleesonllc.com","2015 7th St, Sioux City, IA 51101","Construction company","Sioux City","Iowa","https://www.google.com/maps/search/?api=1&query=Gleeson%20Constructors%20%26%20Engineers%20LLC&query_place_id=ChIJH1Q59wz9jYcRrIdtm_JWiCM",51101,3.7,11,"✅ Gleeson Constructors & Engineers, L.L.C.","54a121cc69702d86b613c602","✅ Found 7 people","Johnny","Myers","Johnny Myers","Project Manager",
"Eden + Gray Design Build","(515) 975-5527","http://www.edenandgray.com/","edenandgray.com","edenandgray.com","2005 NW 100th St, Clive, IA 50325","Remodeler","Clive","Iowa","https://www.google.com/maps/search/?api=1&query=Eden%20%2B%20Gray%20Design%20Build&query_place_id=ChIJ__8Pyjwg7IcRJPrXLkuV4JQ",50325,5,36,"✅ Eden + Gray Design Build","6544a003148e2f000133381b","✅ Found 3 people","Jonathan","Shiplett","Jonathan Shiplett","Founder",
"Fishaus Ltd","(515) 279-1961","http://www.fishaus.com/","fishaus.com","fishaus.com","1406 66th St, Windsor Heights, IA 50324","Home builder","Windsor Heights","Iowa","https://www.google.com/maps/search/?api=1&query=Fishaus%20Ltd&query_place_id=ChIJuWJAPGee7ocRDuIpLdmqHpo",50324,4,2,"✅ Fishaus Builders and Remodelers","54a1284769702d931391fe00","✅ Found 1 person","Julia","Fish","Julia Fish","Co-Owner",
"Boulder Ridge by Skogman Homes","(319) 450-2989","https://www.skogmanhomes.com/find-your-home/iowa/cedar-rapids-metro/marion/boulder-ridge","skogmanhomes.com","skogmanhomes.com","Quartz Dr, Marion, IA 52302","Home builder","Marion","Iowa","https://www.google.com/maps/search/?api=1&query=Boulder%20Ridge%20by%20Skogman%20Homes&query_place_id=ChIJP773cADz5IcRVf5nRKfPkw8",52302,,,"✅ Skogman Homes","5f4898286b3d8100010dbf3a","✅ Found 3 people","Kane","Carlton","Kane Carlton","Project Manager",
"Imprint Architects","(515) 965-5336","http://www.imprintarchitects.com/","imprintarchitects.com","imprintarchitects.com","617 SW 3rd St Suite 108, Ankeny, IA 50023","Home builder","Ankeny","Iowa","https://www.google.com/maps/search/?api=1&query=Imprint%20Architects&query_place_id=ChIJ9cJzop-F7ocRr7wxuP0pl78",50023,5,9,"✅ Imprint Architects","54a1340b69702d352fd21600","✅ Found 1 person","Karl","Chambers","Karl Chambers","President/CEO",
"D&K Home Products","(563) 445-1811","http://www.dkhomeproducts.com/","dkhomeproducts.com","dkhomeproducts.com","345 W 76th St, Davenport, IA 52806","Sunroom contractor","Davenport","Iowa","https://www.google.com/maps/search/?api=1&query=D%26K%20Home%20Products&query_place_id=ChIJ5TZRZmQ14ocRPnE-aXnNbJA",52806,4.8,24,"✅ D&K Home Products","5500cc52736964176db67100","✅ Found 2 people","Kat","K","Kat K","Owner/Manager",
"Cyclone Contracting","(515) 292-4629","https://cyclonecontracting.com/","cyclonecontracting.com","cyclonecontracting.com","215 Alexander Ave Suite A, Ames, IA 50010","Contractor","Ames","Iowa","https://www.google.com/maps/search/?api=1&query=Cyclone%20Contracting&query_place_id=ChIJfWXGV8R27ocRnWL5qRM15-w",50010,4.9,195,"✅ Cyclone Contracting Corp.","54a1ce0374686949e78d5212","✅ Found 1 person","Kaylee","Curts","Kaylee Curts","Office Manager",
"K. Johnson Construction","(515) 630-2370","http://kjohnsonconstruction.com/","kjohnsonconstruction.com","kjohnsonconstruction.com","3700 SE Beisser Dr # A, Grimes, IA 50111","General contractor","Grimes","Iowa","https://www.google.com/maps/search/?api=1&query=K.%20Johnson%20Construction&query_place_id=ChIJrbdyU-qf7ocR4wlKGWHhaq4",50111,5,1,"✅ K. Johnson Construction","5e57f37ab3281d00015d0d63","✅ Found 2 people","Keagan","Johnson","Keagan Johnson","Owner",
